Facility ID,Facility Name,Address,City,Zip,Fallback_Address,Full_Address_Fallback,fallback_latitude,fallback_longitude,id,input_address,match_indicator,match_type,matched_address,tiger_line_id,tiger_side,fallback_status,locatr_probe_pass,locatr_query,locatr_latitude,locatr_longitude,locatr_score,locatr_addr_type,locatr_match_addr,locatr_county,locatr_locality,locatr_probe_status
60101,MEADOWVIEW NURSING AND REHABILITATION CENTER,235 DOLPHIN AVE,NORTHFIELD,08225,235 DOLPHIN AVENUE,"235 DOLPHIN AVENUE, NORTHFIELD, NJ 08225",NA,NA,1,"235 DOLPHIN AVENUE, NORTHFIELD, , 08225",No_Match,NA,NA,NA,NA,Still unmatched,address,"235 DOLPHIN AVENUE, NORTHFIELD, NJ 08225",39.37984999706,-74.542080040342,100,PointAddress,"235 Dolphin Ave, Northfield, New Jersey, 08225",Atlantic County,Northfield city,candidate_in_region
61628,PHOENIX CENTER FOR REHABILITATION AND PEDIATRICS,1433 RINGWOOD AVE,HASKELL,07420,1433 RINGWOOD AVENUE,"1433 RINGWOOD AVENUE, HASKELL, NJ 07420",NA,NA,2,"1433 RINGWOOD AVENUE, HASKELL, , 07420",No_Match,NA,NA,NA,NA,Still unmatched,address,"1433 RINGWOOD AVENUE, HASKELL, NJ 07420",41.01408319595,-74.298520541889,100,PointAddress,"1433 Ringwood Ave, Haskell, New Jersey, 07420",Passaic County,Wanaque borough,candidate_in_region
NJ018251,RENAISSANCE PAVILION,61 W JIMMIE LEEDS ROAD,POMONA,08240,61 W JIMMIE LEEDS ROAD,"61 W JIMMIE LEEDS ROAD, POMONA, NJ 08240",NA,NA,3,"61 W JIMMIE LEEDS ROAD, POMONA, , 08240",No_Match,NA,NA,NA,NA,Still unmatched,address,"61 W JIMMIE LEEDS ROAD, POMONA, NJ 08240",39.478551936093,-74.539172022855,97.16,PointAddress,"61 W Jimmie Leeds Rd, Galloway, New Jersey, 08205",Atlantic County,Galloway township,candidate_in_region
NJ04007,THE SUBACUTE AT AUTUMN LAKE HEALTHCARE,113 ROUTE 73,VOORHEES,08043,113 STATE ROUTE 73,"113 STATE ROUTE 73, VOORHEES, NJ 08043",NA,NA,4,"113 STATE ROUTE 73, VOORHEES, , 08043",No_Match,NA,NA,NA,NA,Still unmatched,name,"THE SUBACUTE AT AUTUMN LAKE HEALTHCARE, VOORHEES, NJ",39.831801,-74.927816,100,POI,The Subacute at Autumn Lake Healthcare,Camden County,Voorhees township,candidate_in_region
NJ06IDG2,CARE ONE AT HAMILTON,1660 WHITEHORSE-HAMILTON SQUARE ROAD,HAMILTON TOWNSHIP,08619,1660 WHITEHORSE-HAMILTON SQUARE ROAD,"1660 WHITEHORSE-HAMILTON SQUARE ROAD, HAMILTON TOWNSHIP, NJ 08619",NA,NA,5,"1660 WHITEHORSE-HAMILTON SQUARE ROAD, HAMILTON TOWNSHIP, , 08619",No_Match,NA,NA,NA,NA,Still unmatched,address,"1660 WHITEHORSE-HAMILTON SQUARE ROAD, HAMILTON TOWNSHIP, NJ 08619",40.212992983969,-74.680357638132,99.49,PointAddress,"1660 Whitehorse Hamilton Square Rd, Trenton, New Jersey, 08690",Mercer County,Hamilton township,candidate_in_region
NJ10201L,BERGEN NEW BRIDGE MEDICAL CENTER,230 E RIDGEWOOD AVE,PARAMUS,07652,230 E RIDGEWOOD AVENUE,"230 E RIDGEWOOD AVENUE, PARAMUS, NJ 07652",NA,NA,6,"230 E RIDGEWOOD AVENUE, PARAMUS, , 07652",No_Match,NA,NA,NA,NA,Still unmatched,address,"230 E RIDGEWOOD AVENUE, PARAMUS, NJ 07652",40.956670009045,-74.062989984668,100,PointAddress,"230 E Ridgewood Ave, Paramus, New Jersey, 07652",Bergen County,Paramus borough,candidate_in_region
NJ12035,"VENETIAN CARE & REHABILITATION CENTER, THE",275 JOHN T O'LEARY BOULEVARD,SOUTH AMBOY,08879,275 JOHN T O'LEARY BOULEVARD,"275 JOHN T O'LEARY BOULEVARD, SOUTH AMBOY, NJ 08879",NA,NA,7,"275 JOHN T O'LEARY BOULEVARD, SOUTH AMBOY, , 08879",No_Match,NA,NA,NA,NA,Still unmatched,address,"275 JOHN T O'LEARY BOULEVARD, SOUTH AMBOY, NJ 08879",40.477665239236,-74.277520856949,100,PointAddress,"275 John T O Leary Blvd, South Amboy, New Jersey, 08879",Middlesex County,South Amboy city,candidate_in_region
NJ13301,COMPLETE CARE AT WALL LLC,1725 MERIDIAN TRAIL,WALL,07719,1725 MERIDIAN TRAIL,"1725 MERIDIAN TRAIL, WALL, NJ 07719",NA,NA,8,"1725 MERIDIAN TRAIL, WALL, , 07719",No_Match,NA,NA,NA,NA,Still unmatched,address,"1725 MERIDIAN TRAIL, WALL, NJ 07719",40.172710018313,-74.065259971686,99.9,PointAddress,"1725 Meridian Trl, Wall Township, New Jersey, 07719",Monmouth County,Wall township,candidate_in_region
NJ156001,BERLIN REHABILITATION AND HEALTHCARE CENTER,100 LONG-A-COMING LANE,BERLIN,08009,100 LONG-A-COMING LANE,"100 LONG-A-COMING LANE, BERLIN, NJ 08009",NA,NA,9,"100 LONG-A-COMING LANE, BERLIN, , 08009",No_Match,NA,NA,NA,NA,Still unmatched,address,"100 LONG-A-COMING LANE, BERLIN, NJ 08009",39.781359629604,-74.920611146335,100,PointAddress,"100 Long a Coming Ln, Berlin, New Jersey, 08009",Camden County,Berlin borough,candidate_in_region
NJ1B4IGL,ST CATHERINE OF SIENA,7 RYERSON AVENUE,CALDWELL,07006,7 RYERSON AVENUE,"7 RYERSON AVENUE, CALDWELL, NJ 07006",NA,NA,10,"7 RYERSON AVENUE, CALDWELL, , 07006",No_Match,NA,NA,NA,NA,Still unmatched,address,"7 RYERSON AVENUE, CALDWELL, NJ 07006",40.832799980805,-74.269110036208,100,PointAddress,"7 Ryerson Ave, Caldwell, New Jersey, 07006",Essex County,Caldwell borough,candidate_in_region
NJ30402,ST MARY'S CENTER FOR REHABILITATION & HEALTHCARE,220 ST MARY'S DRIVE,CHERRY HILL,08003,220 ST MARY'S DRIVE,"220 ST MARY'S DRIVE, CHERRY HILL, NJ 08003",NA,NA,11,"220 ST MARY'S DRIVE, CHERRY HILL, , 08003",Tie,NA,NA,NA,NA,Fallback tie,address,"220 ST MARY'S DRIVE, CHERRY HILL, NJ 08003",39.885249002783,-74.964109032864,100,PointAddress,"220 Saint Marys Dr, Cherry Hill, New Jersey, 08003",Camden County,Cherry Hill township,candidate_in_region
NJ306100,HACKENSACK-UMC MOUNTAINSIDE,ONE BAY AVE,MONTCLAIR,07042,1 BAY AVENUE,"1 BAY AVENUE, MONTCLAIR, NJ 07042",NA,NA,12,"1 BAY AVENUE, MONTCLAIR, , 07042",No_Match,NA,NA,NA,NA,Still unmatched,address,"1 BAY AVENUE, MONTCLAIR, NJ 07042",40.811016378371,-74.205125353395,100,PointAddress,"1 Bay Ave, Montclair, New Jersey, 07042",Essex County,Montclair township,candidate_in_region
NJ31102,MEADOW LAKES,300 MEADOW LAKES,EAST WINDSOR,08520,300 MEADOW LAKES,"300 MEADOW LAKES, EAST WINDSOR, NJ 08520",40.468313430132,-104.90148328509,13,"300 MEADOW LAKES, EAST WINDSOR, , 08520",Match,Non_Exact,"300 MEADOW DR, WINDSOR, CO, 80550",188706341,R,Fallback matched,address,"300 MEADOW LAKES, EAST WINDSOR, NJ 08520",40.25771999278,-74.52226999892,100,PointAddress,"300 Meadow Lks, Hightstown, New Jersey, 08520",Mercer County,East Windsor township,candidate_in_region
